,Families,Incidence
981,CBM40+GH13,3
982,CBM3+CBM32+GH5,3
983,CBM3+CE0,3
984,CBM13+CE4,3
985,CBM0+CBM22+CBM9+CE4+GH10,3
986,CBM64+GH48,3
987,CBM35+GH8,3
988,CBM46+GH5+GH74,3
989,CE0+PL9,3
990,GH29+GH33,3
991,CBM48+GH13+GH133,3
992,CBM13+GH26+GH75,3
993,CBM9+GH9,3
994,CBM35+CBM6+GH3+GH30,3
995,CBM25+CBM41+GH13,3
996,CBM67+GH140,3
997,CBM35+CE20,3
998,CBM22+CE4+GH10,3
999,CBM20+GH97,3
1000,GH0+GH172,3
1001,CBM12+CBM32+GH81,3
1002,GH3+GH43,3
1003,GT2+PL38,3
1004,CBM60+GH10,3
1005,CBM10+GH9,3
1006,GT7+GT90,3
1007,CBM57+GH10,3
1008,CBM5+GH39,3
1009,GT17+GT2+GT4,3
1010,GH20+GH92,3
1011,GT113+GT2,3
1012,CBM36+CE4+GH11,3
1013,CBM16+PL6,3
1014,CBM32+CBM64+GH5,3
1015,CBM36+GH8,3
1016,CBM3+CBM30+GH9,3
1017,CBM0+PL8,3
1018,CBM48+GT5,3
1019,AA11+CBM18,3
1020,CBM6+PL40,3
1021,CBM40+CBM50,3
1022,CBM0+CBM3+GH9,3
1023,CBM94+GH20,3
1024,CBM4+PL0,3
1025,CBM10+CBM2+GH26,3
1026,CBM12+CBM73+GH19,3
1027,CBM5+PL1,3
1028,CBM16+CBM23+GH26,3
1029,CBM60+CE6,3
1030,GH171+GH3,3
1031,CBM2+GH0,3
1032,CBM0+GH117+GH29,3
1033,CBM0+GH51,3
1034,CBM32+GH120,3
1035,CBM42+CBM66+CE2,3
1036,CBM13+CE12,3
1037,GT102+GT103+GT2,3
1038,GH144+GH29,3
1039,GH127+GH51,3
1040,CBM32+PL6+PL7,3
1041,CBM6+GH117,3
1042,CBM35+CBM77+PL1+PL9,3
1043,CBM9+GH136,3
1044,CBM26+CBM74+GH13,3
1045,CBM0+CBM6,3
1046,CE12+GH43,3
1047,GH10+GH43,3
1048,CBM12+CBM42+GH18,3
1049,GH106+GH2,3
1050,CBM12+GH20,3
1051,GH18+GH19,3
1052,GT0+GT2+GT32,3
1053,CBM5+CBM61+GH43,3
1054,CBM0+GH173,3
1055,AA12+AA8+CBM1,3
1056,GT0+GT1,3
1057,CE4+GH18,3
1058,CBM50+GH22,3
1059,GT32+GT4,3
1060,CBM67+GH136+GH78,3
1061,CBM92+GH99,3
1062,CBM4+CBM6,3
1063,CBM2+PL3,3
1064,CBM2+GH29,3
1065,CBM66+CE8,3
1066,CBM67+GH106,3
1067,GH9+GT2,3
1068,CBM91+GH0,3
1069,CBM47+GT23,3
1070,CBM0+GT20,3
1071,CBM26+CBM41+CBM82+CBM83+GH13,3
1072,CBM75+GH43,3
1073,GH146+GH97,3
1074,CBM79+GH9,3
1075,CBM13+GH44,3
1076,GH1+GH162,3
1077,CBM1+CE0+GH27,3
1078,CBM18+GH114,3
1079,CE4+GH9,3
1080,GH144+GH3,3
1081,GH28+PL11,3
1082,CE6+GH33,3
1083,CE0+CE12,3
1084,GT2+GT81,3
1085,CBM35+GH128,3
1086,CBM0+GH163,3
1087,CBM60+CE4,3
1088,CBM2+CBM35+GH26,3
1089,GH43+GH59,3
1090,CBM88+CE0,3
1091,CBM16+GH173,3
1092,CBM9+GH30,3
1093,GH0+GH165,3
1094,CBM41+CBM48+CBM68+GH13,3
1095,CBM35+CBM62+GH39,3
1096,CBM12+CBM5+GH0,3
1097,GT1+GT2+GT4,3
1098,GH128+GH152,3
1099,CBM0+CBM67+GH78,3
1100,CE0+CE4,3
1101,GH105+PL35,3
1102,CE16+GH3,3
1103,CBM35+GH15+GH66,3
1104,CBM6+GH8,3
1105,CBM91+GH35+GH43,3
1106,CBM0+GH38,3
1107,GT10+GT2,3
1108,CBM0+PL42,3
1109,CBM35+CBM6+GH31,3
1110,CBM61+CE0,3
1111,CBM66+GH148,3
1112,CBM6+GH12,3
1113,CBM22+GH11+GH16,2
1114,CBM22+CBM3+CBM6+GH10+GH43,2
1115,CBM3+GH44+GH9,2
1116,CBM0+GH26,2
1117,CBM72+GH26+GH5,2
1118,CBM16+CBM6,2
1119,CBM56+CBM6,2
1120,CBM13+CBM6+GH30,2
1121,CBM32+CBM47,2
1122,CBM2+CBM3+GH5,2
1123,CE12+PL10,2
1124,CBM2+CBM3+GH48,2
1125,CBM16+CBM5+GH18,2
1126,GT116+GT4,2
1127,CBM35+CBM6+GH87,2
1128,GH105+PL42,2
1129,CBM88+GH5,2
1130,CBM9+GH141,2
1131,CBM10+CBM3+CBM5+GH9,2
1132,GH26+GH8,2
1133,CBM57+CE0+GH10,2
1134,CE0+GH10,2
1135,CBM2+CBM35+CE12,2
1136,CBM10+CBM2+GH16,2
1137,CBM10+CBM2+CE3,2
1138,CBM82+CBM83+GH13,2
1139,CBM9+GH166,2
1140,CBM20+GH57,2
1141,CBM0+CBM66+GH136,2
1142,GH5+GH93,2
1143,CBM32+GH120+GH95,2
1144,CBM13+CE8+PL1,2
1145,GH106+GH137,2
1146,CBM32+CBM6+GH18,2
1147,CBM32+CBM51+GH27,2
1148,CBM13+GH79,2
1149,AA10+CBM5+GH18,2
1150,CBM88+PL1,2
1151,CBM85+GH43,2
1152,GH5+GT2,2
1153,CBM35+GH53,2
1154,CBM88+GH43,2
1155,CBM88+GH30,2
1156,CBM50+GH46,2
1157,CBM5+CE4,2
1158,CBM22+GH11,2
1159,CE7+GH26,2
1160,GH18+GH78,2
1161,CBM51+GH0,2
1162,CBM48+GH13+GT5,2
1163,CBM48+GT2,2
1164,CBM77+PL9,2
1165,CBM13+CBM35+GH98,2
1166,CBM56+CBM6+GH64,2
1167,CBM35+CBM66+GH142,2
1168,CBM35+CBM9+GH87,2
1169,CBM3+GH44+GH74,2
1170,CBM22+CBM9+CE15+GH10,2
1171,CBM32+CBM54+CBM92+GH16+GH55,2
1172,CBM13+CBM35+CE12,2
1173,CBM22+CBM91+CE0+GH43,2
1174,CBM3+CBM37+GH9,2
1175,CBM22+CBM37+CE0+GH11,2
1176,GH5,2
1177,CE8+GH105,2
1178,CBM13+CBM2+PL11,2
1179,CBM22+GH30,2
1180,CBM5+CBM61+GH53,2
1181,GH18+GH8,2
1182,CBM1+GH16,2
1183,CBM1+CE2,2
1184,CBM1+GH28,2
1185,GH12+GT2,2
1186,CBM9+CE0+GH10,2
1187,CBM6+GH10+GH11,2
1188,CBM3+GH128,2
1189,CBM60+GH0,2
1190,CBM84+GH16,2
1191,CE15+GH78,2
1192,GT111+GT29+GT8,2
1193,CE12+CE2,2
1194,CBM84+GH43,2
1195,CBM42+GH62,2
1196,GH81+GT2,2
1197,CBM67+GH0,2
1198,CBM2+CBM60+GH30,2
1199,CE6+GH43,2
1200,CBM32+CBM50,2
1201,CBM16+CBM32+GH136,2
1202,GH2+GH3,2
1203,CBM10+CE3,2
1204,CBM10+CBM60+CE6+GH10,2
1205,CBM10+CBM60+GH10,2
1206,CBM10+CE1,2
1207,GH11+GH62,2
1208,CBM1+GH30,2
1209,GH123+GH33,2
1210,CBM13+CBM42+GH43,2
1211,CBM32+PL29,2
1212,AA5+CBM47,2
1213,CBM38+GT89,2
1214,CBM6+GH27+GH43,2
1215,GH2+GH31,2
1216,PL0+PL9,2
1217,CBM2+CBM36+CBM6+GH8,2
1218,CBM5+CBM73+GH5,2
1219,CBM57+CE0,2
1220,CBM61+GH0,2
1221,CBM9+GH74,2
1222,CBM32+CBM51+GH2,2
1223,CBM32+CBM9,2
1224,CBM51+GH51,2
1225,CBM0+CBM35+CBM6,2
1226,CBM47+GH0,2
1227,CBM0+CBM47,2
1228,CBM22+PL0,2
1229,GH117+GH29,2
1230,CBM12+CBM5+GH8,2
1231,CBM35+GH136,2
1232,CBM0+PL35,2
1233,GT0+GT107,2
1234,CBM13+PL20,2
1235,CBM66+GH43+GH51,2
1236,CBM32+CBM88+GH76,2
1237,CBM5+CBM6+GH5,2
1238,CBM64+GH11,2
1239,CBM64+GH30,2
1240,GT4+GT70,2
1241,CBM2+CE6,2
1242,CBM35+CBM61,2
1243,CBM84+GH0,2
1244,CBM2+CBM60+GH10,2
1245,CBM10+CBM57+CBM60+GH11,2
1246,CE4+GH73,2
1247,CBM2+PL1+PL9,2
1248,CBM56+GH26,2
1249,GH29+GH95,2
1250,GH2+PL38,2
1251,CE0+PL1,2
1252,CBM6+PL7,2
1253,CE8+GH95,2
1254,CBM90+PL24,2
1255,CBM35+CBM6+CBM88+CE8+PL1,2
1256,CBM13+PL0,2
1257,GT2+GT99,2
1258,GH117+GH43,2
1259,CBM32+PL24,2
1260,CE20+GH33,2
1261,CBM88+CE0+GH76,2
1262,CBM1+CE8,2
1263,CBM3+CBM62,2
1264,CBM60+GH5,2
1265,CBM6+GH5+GH8,2
1266,CBM6+CBM92+GH5,2
1267,CBM13+CBM56+GH64,2
1268,CBM6+CBM64+GH5,2
1269,CBM23+CBM32+CBM5+GH5,2
1270,CBM4+CBM6+GH9,2
1271,CBM4+CBM6+GH5,2
1272,CBM9+GH144,2
1273,CBM3+CBM5,2
1274,CBM50+GH104,2
1275,CBM2+CBM5+GH18,2
1276,CBM5+GH8,2
1277,CBM54+GH18,2
1278,GT64+GT8,2
1279,GT4+GT62,2
1280,CBM20+CBM26+GH13,2
1281,CBM6+CE8,2
1282,GH159+GH43,2
1283,CBM16+CBM54+GH163,2
1284,CBM22+CBM54+GH163,2
1285,CBM57+GH87,2
1286,CBM22+GH136,2
1287,CBM67+CBM71+GH2,2
1288,CBM6+GH38,2
1289,CBM32+GH106,2
1290,CBM91+GH89,2
1291,CBM66+GH78,2
1292,CBM2+PL0,2
1293,GT23+GT4,2
1294,CBM51+GH43,2
1295,CBM3+CBM65+GH5,2
1296,CBM1+CBM63,2
1297,CBM32+CBM40+GH123,2
1298,CBM92+GH87,2
1299,GH16+GT2,2
1300,CBM61+GH26,2
1301,CBM0+CBM32+GH29,2
1302,CE0+GH20,2
1303,CBM52+GH81,2
1304,GH30,2
1305,CBM0+GH144,2
1306,CBM53+GT31+GT5,2
1307,CBM43+GH17+GT2,2
1308,CBM0+CBM22+GH10,2
1309,CBM18+GT31,2
1310,CBM22+CBM63+GH9,2
1311,CBM48+GH13+GT4,2
1312,CBM1+GH54,2
1313,GH0+GH133,2
1314,CBM51+GH29,2
1315,AA1+CBM18,2
1316,GH16+GT48,2
1317,CBM1+CBM35+GH26,2
1318,CBM32+CBM38+GH32,2
1319,CBM8+GH113,2
1320,GH36+GH74,2
1321,AA15+CBM18,2
1322,GH163+GH50,2
1323,AA3+CBM1,2
1324,CBM1+CE12,2
1325,AA17+CBM18,2
1326,CBM50+CBM6,2
1327,GT25+GT4,2
1328,CBM16+GH29,2
1329,CBM1+CBM6+GH43,2
1330,CBM13+GH13,2
1331,CE6+GH97,2
1332,CBM66+GH0,2
1333,CBM66+CBM9,2
1334,CBM13+CBM35+GH66,2
1335,CBM32+CBM35+PL39,2
1336,AA5+CBM60,2
1337,GH43+GH5,2
1338,CE0+GH62,2
1339,GH0+GH78,2
1340,CBM13+CBM35+CBM6+GH5+GH98,2
1341,CBM2+GH28,2
1342,CBM32+CBM66+GH0,2
1343,CBM51+GH123,2
1344,GH20+GH93,2
1345,CBM13+CBM71+GH30,2
1346,CBM66+GH141,2
1347,CBM32+GH28+GH29,2
1348,GH152+GH18,2
1349,CBM16+GH39,2
1350,CBM6+CBM9+GH87,2
1351,CBM13+CBM9+GH136,2
1352,CBM3+PL0,2
1353,GH42+GH5,2
1354,CBM32+GH98,2
1355,CBM6+CBM60+GH10+GH43,2
1356,GH28+PL29,2
1357,CBM66+CBM9+GH74,2
1358,CBM32+CE17,2
1359,CBM62+GH85,2
1360,CE14+GT4,2
1361,GH0+GH140,2
1362,CBM13+CBM32+GH92,2
1363,GH128+GH16,2
1364,CBM66+CBM84+GH43,2
1365,CBM50+GH16,2
1366,CBM22+CBM6+GH43+GH62,2
1367,CBM60+CE4+GH11,2
1368,CBM20+CBM25,2
1369,AA3+GT4,2
1370,GH13+GT25,2
1371,AA3+GH76,2
1372,CBM48+GH13+GH28,2
1373,CBM84+PL0,2
1374,CBM0+CBM16+GH167,2
1375,CBM66+GH9,2
1376,CBM0+GH106,2
1377,CBM6+CE0+CE6,2
1378,CBM61+GH43+GH53,2
1379,GT0+GT101,2
1380,GH3+GH9,2
1381,GH16+GH64,2
1382,CBM2+GH9+PL14,2
1383,CBM32+CBM6+GH0,2
1384,CBM25+CBM34+GH13,2
1385,GT0+GT28,2
1386,CBM13+GH73,2
1387,CBM72+GH0,2
1388,CBM9+GH167,2
1389,CBM71+GH18,2
1390,GH33+GH84,2
1391,CBM32+GH20+GH85,2
1392,CBM32+CBM71+GH2+GH33+GH84,2
1393,CBM42+CBM66+GH43,2
1394,CBM0+CBM6+CBM62,2
1395,CBM66+CBM67+GH78,2
1396,CBM66+GH30,2
1397,CBM42+CE3,2
1398,CBM16+GH10,2
1399,GH39+GT4,2
1400,CBM6+CBM88+GH76,2
1401,CBM42+CBM6,2
1402,CBM13+CBM61+GH43,2
1403,CBM35+CBM66+GH43+GH5,2
1404,CBM35+CBM66,2
1405,CBM0+GH27,2
1406,GT11+GT2+GT4,2
1407,CBM61+GH29,2
1408,CBM72+CE0,2
1409,CBM72+GH43,2
1410,CBM32+CBM70+PL0,2
1411,CBM13+CBM6+GH95,2
1412,CBM16+GH8,2
1413,CBM48+CBM68,2
1414,CBM0+CBM32+GH89,2
1415,CBM3+PL31,2
1416,CBM57+GH74,2
1417,CBM18+GH71,2
1418,PL0+PL21,2
1419,CBM32+CBM6+GH43,2
1420,CBM2+GH16,2
1421,GT0+GT102+GT103,2
1422,CE0+GH18,2
1423,CBM35+CBM47,2
1424,GT0+GT11,2
1425,CBM3+GH10+GH12+GH48,2
1426,CBM22+CBM3+GH10+GH5,2
1427,AA10+CBM3+GH5,1
1428,CBM16+GH111,1
1429,CBM12+CBM6+GH5,1
1430,GH57+GT5,1
1431,CBM5+GH10,1
1432,CBM2+CBM35+PL3,1
1433,CBM2+CBM35+PL1,1
1434,CBM6+PL31,1
1435,CBM0+CBM10+GH26,1
1436,GT0+GT2+GT4+GT41,1
1437,CBM4+CE6+GH10,1
1438,CBM9+CE4+GH8,1
1439,CBM88+CBM9+CE1,1
1440,CBM88+CBM9+CBM91+CE6+GH43,1
1441,CBM88+CBM9+GH30,1
1442,CBM88+CBM9+GH10,1
1443,CBM6+CBM88+CBM9+CBM91+GH43,1
1444,CBM9+GH11,1
1445,CBM9+GH8,1
1446,CBM85+GH10+GH16,1
1447,CBM2+CBM3+CE1,1
1448,CBM2+CBM3+GH10,1
1449,CBM2+CBM3+GH74,1
1450,CBM13+GH12+GH5,1
1451,CBM6+GH45,1
1452,CBM2+CBM59+GH26,1
1453,CBM13+GH81,1
1454,CBM12+CBM32+CBM63,1
1455,CBM12+GH8,1
1456,CBM2+CBM32+GH16,1
1457,CBM50+PL7,1
1458,CBM32+CBM54+GH55,1
1459,GH43+GH95,1
1460,CE15+GH106,1
1461,CBM91+GH43+GH62,1
1462,GH10+GT4,1
1463,CBM0+CBM14+GH18,1
1464,CE1+GH11,1
1465,CBM4+GH16+GH17,1
1466,CBM9+CE1,1
1467,CBM0+CBM22+CBM9+GH10,1
1468,CBM5+CBM66+PL0,1
1469,CBM35+CBM5+PL1,1
1470,CBM13+CBM2+GH16,1
1471,CBM10+CBM5+CBM60+CE6+GH10,1
1472,CBM10+CBM88+GH53,1
1473,CBM10+CBM5+GH6,1
1474,CBM10+CBM5+GH16,1
1475,CBM10+CBM5+GH11+GH5,1
1476,CBM2+CBM5+GH44,1
1477,CBM0+CBM10+CBM2+GH26,1
1478,CBM2+CBM35,1
1479,CBM2+CBM6+GH62,1
1480,CBM10+CBM5+GH5,1
1481,CBM10+CBM5,1
1482,CBM5+CBM57+CBM60+CE15+GH11,1
1483,CBM10+GH30,1
1484,CBM92+GH18+GH5,1
1485,CBM13+CBM67+GH78,1
1486,CBM13+CBM16+CBM84,1
1487,CBM32+CBM56+GH55,1
1488,CBM35+CBM61+GH16,1
1489,CBM2+GH66,1
1490,CBM2+CBM35+GH27,1
1491,CBM5+CE6,1
1492,CBM6+GH54,1
1493,CBM3+CBM46+GH5,1
1494,CBM13+CBM2+CBM91+GH43,1
1495,CBM3+GH26,1
1496,CBM65+CE2,1
1497,CBM0+CBM41+CBM48+GH13,1
1498,CBM16+CBM6+GH0,1
1499,CBM38+CBM66,1
1500,GH76+GT4,1
1501,CBM92+GH86,1
1502,CBM92+GH118,1
1503,CE0+GH26,1
1504,CBM2+CE4+GH10+GH11,1
1505,CBM86+CBM9+GH10,1
1506,CBM13+CBM2+CBM36+CBM6+GH10+GH43,1
1507,CBM13+CBM2+CE0+GH10,1
1508,CBM0+CBM23+CBM54+CBM59+GH26,1
1509,CBM42+CE2,1
1510,GH16+GH50,1
1511,CBM35+CBM37+CE3+GH26,1
1512,CBM37+CE12,1
1513,CBM35+CBM37+GH26,1
1514,CBM35+CBM37+GH98,1
1515,CBM37+GH11,1
1516,CBM37+CE8+PL10,1
1517,CBM22+CE0,1
1518,CBM37+PL11,1
1519,CBM37+GH9,1
1520,CBM13+CBM37+GH43,1
1521,CBM37+PL1,1
1522,CBM13+CBM37+PL11,1
1523,CBM13+CBM37+CE12,1
1524,CBM37+CBM77+PL1,1
1525,CBM37+GH74,1
1526,CBM13+CBM37,1
1527,CBM37+CBM62+GH30,1
1528,CBM22+CBM37+GH10+GH11,1
1529,CBM4+GH81,1
1530,CBM47+CBM61+GH53,1
1531,GH13+GH57,1
1532,GH13+GT4,1
1533,CBM35+GH26+GH5,1
1534,AA1+CE4,1
1535,CE12+GH106,1
1536,CBM32+CE0,1
1537,CBM46+CBM64+GH5,1
1538,GH148+GH30,1
1539,CBM35+CBM4+GH16,1
1540,CE4+GH39,1
1541,CBM0+PL11,1
1542,CBM0+CBM6+GH3+GH30,1
1543,CBM3+GH44+PL11,1
1544,CBM3+CBM66+PL9,1
1545,CBM13+GH16+GH18,1
1546,CBM13+CBM57+GH87,1
1547,CBM13+CBM6+GH55,1
1548,CBM6+CE6+GH11,1
1549,CBM22+CBM9+CE0+GH10,1
1550,CBM36+CBM6+GH11,1
1551,GH88+PL8,1
1552,GH29+GH89,1
1553,GH0+GH104,1
1554,CBM35+CBM6+GH30,1
1555,CBM53+GH0,1
1556,CE13+GT1,1
1557,CBM88+GH16,1
1558,GH1+GH5,1
1559,GT116+GT41,1
1560,GT11+GT41,1
1561,CBM57+GH5,1
1562,CBM17+CBM28,1
1563,GH36+GH38,1
1564,GH35+GH53,1
1565,GH28+GH88,1
1566,CBM4+GH3,1
1567,CBM2+GH141,1
1568,CBM81+GH5,1
1569,CBM13+CBM26+GH13,1
1570,CBM16+PL12,1
1571,CE12+PL22,1
1572,CE0+CE20,1
1573,GH26+GH3,1
1574,CE0+GH0,1
1575,CE20+GH130,1
1576,CBM60+CBM61+GH53,1
1577,CBM10+GH10,1
1578,CBM10+CBM60+GH53,1
1579,CBM22+CBM60+CE15,1
1580,CBM10+CBM60+CE1+CE15,1
1581,CBM10+GH5+GH6,1
1582,CBM1+GH19,1
1583,GH72+GT31,1
1584,CBM16+CBM91+GH136,1
1585,CBM16+CBM9+GH26+GH50,1
1586,CBM3+CE1,1
1587,AA10+CBM3+CBM5,1
1588,CBM0+GH136,1
1589,CBM22+GH10+GH62,1
1590,CBM2+CBM60+CE6,1
1591,CBM2+CBM6+GH59,1
1592,CBM2+CBM22+CBM60+CE6+GH10,1
1593,CBM2+CBM22+CBM6+GH10+GH43+GH62,1
1594,CBM2+CBM22+CBM6+CBM91+GH43,1
1595,CBM0+PL24,1
1596,CBM90+PL40,1
1597,CBM67+GH28+GH78,1
1598,CBM51+GH127,1
1599,GH0+GH130,1
1600,CBM11+CBM3+GH5,1
1601,CBM2+GH19,1
1602,CBM0+CBM16,1
1603,CBM44+GH51,1
1604,CBM2+GH12+GH5,1
1605,AA11+CBM19,1
1606,GH5+PL7,1
1607,CE6+GH136,1
1608,CBM32+CBM47+CBM6,1
1609,CBM5+PL9,1
1610,CBM22+CBM5+CBM9+CE4+GH10,1
1611,CBM13+CBM5+GH30,1
1612,CBM35+PL35,1
1613,CBM22+CBM4+CBM9+GH10,1
1614,CBM16+CBM4+PL0,1
1615,CBM62+GH5,1
1616,CBM84+GH50,1
1617,CBM16+CBM32+CBM62+GH5,1
1618,CBM0+CBM9+GH10,1
1619,CBM66+GH55,1
1620,GT0+GT17,1
1621,CBM35+CBM66+GH43,1
1622,CBM13+CBM61+GH93,1
1623,GT114+GT2,1
1624,GT11+GT4,1
1625,CE15+GH115,1
1626,GH0+GT5,1
1627,CBM10+CBM5+CBM60+GH5,1
1628,CBM5+CBM60+CBM88+CE4+GH11,1
1629,CBM16+CBM32+CBM35+GH136,1
1630,CBM77+CE8+PL1,1
1631,CBM1+CBM18,1
1632,CE12+GH43+PL22,1
1633,GH128+PL11,1
1634,CBM6+GH0+GH16+GH97,1
1635,CBM5+CBM73+PL14,1
1636,CBM5+CBM6+GH30,1
1637,GH0+GH97,1
1638,CBM64+CE2,1
1639,CBM64+CE0,1
1640,CBM64+GH62,1
1641,CBM35+CBM64+GH27,1
1642,CBM6+CBM64+GH43,1
1643,CBM2+CBM6+CE0,1
1644,CBM10+CBM6+GH0,1
1645,CBM32+GH2+GH29,1
1646,CBM51+GH20,1
1647,GT41+GT56,1
1648,CBM35+PL3,1
1649,CBM10+CBM6+GH18,1
1650,CBM0+CBM32+GH16,1
1651,CBM2+CBM22+CBM91+GH43,1
1652,CBM73+PL14,1
1653,CBM10+CBM13+CBM35+PL11,1
1654,AA10+CBM10+CBM2,1
1655,CBM0+CBM32+GH76+GH92,1
1656,AA5+GT2,1
1657,GH137+GH78,1
1658,CBM2+GH12+GH18,1
1659,CBM40+CBM51+GH33,1
1660,CBM2+CBM6+CE2+GH8,1
1661,CBM35+CBM6+GH43,1
1662,CBM32+GH51,1
1663,CBM22+GH62,1
1664,CBM11+GH135,1
1665,GH2+GH33,1
1666,CBM85+CE4+GH10,1
1667,CBM18+CBM50+CBM66+GH18,1
1668,GT11+GT25,1
1669,CBM2+CBM6+GH11,1
1670,CBM11+GH8,1
1671,CBM2+CBM6+GH16,1
1672,CBM6+CE3+GH11,1
1673,CBM13+CE20,1
1674,CBM16+CBM6+PL0,1
1675,CBM84+PL11,1
1676,CBM32+CBM71+GH18+GH85,1
1677,GH39+GH42,1
1678,CBM88+GH26,1
1679,CBM0+CBM4+GH86,1
1680,CBM35+CBM77+PL1,1
1681,GH115+GH159,1
1682,GH43+GH50,1
1683,CBM52+GH64,1
1684,GH0+GH1,1
1685,CBM0+GH5,1
1686,CBM35+GH20,1
1687,GH53+GT25,1
1688,CBM23+CBM54+CBM59+GH26,1
1689,CBM0+CBM48+GH13,1
1690,CBM3+CBM6+CBM88,1
1691,CBM53+GH119,1
1692,CBM57+GH64,1
1693,CBM32+CBM57+GH2,1
1694,GH33+GH54,1
1695,CBM13+GH101,1
1696,CE12+GH95,1
1697,CBM88+GH128,1
1698,CBM50+GH0+GT4,1
1699,CBM13+CBM25+CBM26+GH13,1
1700,CBM13+CBM25+CBM26+CBM74+GH13,1
1701,CBM84+GH9,1
1702,CBM13+CBM6+CBM92,1
1703,CBM13+CBM47+GH107,1
1704,CBM35+CBM47+CBM6+GH107,1
1705,CBM6+CBM73+GH19+GH5,1
1706,CBM32+CBM6+PL6,1
1707,CBM92+PL7,1
1708,CBM6+CBM63,1
1709,CBM6+CBM92+CE20,1
1710,GH0+GH117,1
1711,GT2+GT23,1
1712,CBM32+GH27,1
1713,GT101+GT4,1
1714,CBM35+CBM9+GH39,1
1715,GH23+GH78,1
1716,CBM6+CBM64+GH8,1
1717,CBM92+GT0,1
1718,CBM0+CBM31+GH26,1
1719,CBM9+GH18,1
1720,CBM12+CBM56+CBM6+GH64,1
1721,GH6+GH9,1
1722,CBM35+GH74,1
1723,CBM0+GH15,1
1724,CBM35+CE1,1
1725,CE0+PL22,1
1726,CE3+GH5,1
1727,GH0+GT48,1
1728,CBM22+CE4,1
1729,CE2+GH130,1
1730,CBM54+PL21,1
1731,CBM54+GH0,1
1732,CBM13+GH71,1
1733,CBM3+GH18,1
1734,CBM32+CBM57+GH158+GH16,1
1735,CBM2+PL4,1
1736,CBM25+GH15,1
1737,CBM22+GH0,1
1738,GT2+GT62,1
1739,CBM13+GH30+GH42,1
1740,CE1+GH62,1
1741,GH43+PL1,1
1742,GT4+PL12,1
1743,CBM16+GH20,1
1744,CBM2+CBM35+GH39,1
1745,CBM57+CBM6+GH43,1
1746,CBM32+PL18+PL7,1
1747,CBM10+CBM35+CE12,1
1748,CBM57+CE4,1
1749,CBM57+GH62,1
1750,CBM57+CE3,1
1751,CBM4+GH31,1
1752,CBM57+CE6,1
1753,CBM32+CBM6+GH38,1
1754,CBM0+CBM6+GH92,1
1755,CBM32+GH105+PL8,1
1756,CBM47+GH46,1
1757,CBM66+PL12,1
1758,CBM5+GH16,1
1759,CBM32+CBM6+GH5+GH55,1
1760,CBM5+CE2,1
1761,CBM57+GH30,1
1762,CBM13+CBM38+CBM6+GH32,1
1763,CBM13+CBM38+GH32,1
1764,CBM2+CBM8+GH51,1
1765,GH142+GH33,1
1766,CBM32+GH130+GH2,1
1767,GH110+GH43,1
1768,CBM13+PL4,1
1769,CBM3+GH19,1
1770,GH3+GH5,1
1771,GH0+GH51,1
1772,GH172+GH32,1
1773,CBM13+CBM32+GH30,1
1774,CBM32+GH0+GH29,1
1775,CBM48+GH0,1
1776,GH24+GH25,1
1777,GH10+GH120,1
1778,CBM16+CBM22,1
1779,CBM13+CBM61,1
1780,CBM0+CBM13+GH93,1
1781,CBM44+GH74,1
1782,CBM13+CBM32+CE3,1
1783,CBM32+GH116,1
1784,CBM0+GH116,1
1785,CE3+GH140,1
1786,AA5+CBM32+CBM47,1
1787,GH27+GH36,1
1788,CBM22+CE3+GH11,1
1789,GH84+GT7,1
1790,CE15+CE3,1
1791,CBM35+CBM57+CBM6,1
1792,GT0+GT110,1
1793,GH3+GT4,1
1794,GT49+GT61,1
1795,GH1+GT27,1
1796,GT50+GT7,1
1797,GT106+GT4,1
1798,GT1+PL1,1
1799,GH27+GT106,1
1800,GT0+GT77,1
1801,CBM11+GH51,1
1802,GH0+GT64,1
1803,CBM88+PL9,1
1804,GH2+GT57,1
1805,GH47+GT4,1
1806,GH10+GT10,1
1807,GH31+GT7,1
1808,GH29+PL30,1
1809,GH27+GT27,1
1810,GH28+GH9,1
1811,CBM45+PL4,1
1812,GH1+PL1,1
1813,CBM48+CBM82+CBM83+GH13,1
1814,CBM32+CE3+GH30,1
1815,GT4+GT83,1
1816,CBM16+CBM6+GH16,1
1817,CBM67+PL1,1
1818,CBM42+CBM88+GH16,1
1819,CBM51+CE0+GH27,1
1820,CBM62+GH30+GH43,1
1821,CE12+PL9,1
1822,CBM4+GH16+GH9,1
1823,CBM22+CBM6+GH10+GH43,1
1824,CBM22+CE0+GH30,1
1825,CBM0+GH114,1
1826,CBM35+GH2+GH27,1
1827,GH152+GH2,1
1828,CBM1+GH53,1
1829,CBM2+GH45,1
1830,CBM3+CBM62+CE3,1
1831,CBM13+CBM65+GH5,1
1832,CBM23+CBM65+GH5,1
1833,CBM20+CBM50,1
1834,CE0+GH43,1
1835,GH44+GH5,1
1836,AA1+CBM1,1
1837,CBM3+CBM6+GH43,1
1838,GH3+GH67,1
1839,CBM25+CBM74,1
1840,CBM20+CBM25+CBM32,1
1841,CBM48+GH0+GH13,1
1842,GH134+GH36+PL1,1
1843,CBM6+CE4+GH10+GH11,1
1844,CBM6+CE0+GH62,1
