,Families,Incidence
236,GT102+GT103+GT99,62
237,CBM25+CBM41+CBM48+GH13,62
238,CBM51+GH2,61
239,CBM60+GH11,60
240,CBM12+CBM5+GH19,60
241,CBM56+GH16,60
242,CBM56+GH81,59
243,CBM56+GH64,59
244,CBM32+GH64,59
245,CBM32+CBM35+GH87,59
246,CBM61+GH43,59
247,CBM13+GH95,59
248,CBM2+CBM46+GH5,58
249,CBM13+PL3,57
250,GT2+GT4+GT99,56
251,CBM69+GH13,56
252,CBM36+CBM6+GH43,56
253,CBM36+GH11,55
254,CBM21+GH15,55
255,CBM85+GH10,55
256,CE12+PL11,55
257,CBM17+CBM28+GH5,54
258,CBM23+GH26,54
259,CBM6+GH64,54
260,CBM6+GH86,53
261,CBM32+CBM5,53
262,GT102+GT103,52
263,CBM36+CE4,52
264,CBM2+GH30,52
265,CBM59+GH5,51
266,CBM35+PL1,51
267,CBM92+GH16,51
268,CBM16+GH136,51
269,CBM32+CBM6,50
270,CBM13+CBM32+GH29,50
271,CBM51+GH35,50
272,CBM6+GH81,50
273,GT1+GT2,49
274,CBM1+CE1,49
275,CBM13+GH0,49
276,CBM25+GH13+GH14,48
277,GT2+GT41,48
278,CBM40+GH16+GH33,48
279,CBM2+CE15,48
280,CBM6+CBM91,48
281,AA3+AA8+CBM1,47
282,CBM92+GH5,47
283,CBM4+GH6,47
284,CBM32+GH5,47
285,CBM34+GH13+GH77,47
286,CBM27+GH5,46
287,CBM10+CBM2+GH5,46
288,CBM3+CBM35+GH26+GH44,46
289,GH16+GT25,46
290,AA15+CBM14,45
291,CBM61+GH16,45
292,CBM35+GH2,45
293,CBM32+GH36,45
294,CE8+PL10,45
295,CBM35+GH87,45
296,CBM13+GH25,44
297,GH120+GH51,44
298,GH16+GH20,43
299,CBM32+PL6,43
300,CE0+GT2,43
301,GT101+GT2,42
302,CBM20+CBM25+GH13,42
303,CBM32+GH95,42
304,CBM6+GH92,42
305,CBM32+GH0,42
306,CBM38+GH116,42
307,GH105+PL33,41
308,CE0+PL10,41
309,CBM87+CE18,41
310,CBM32+GH30,41
