,Families,Incidence,Num_of_fams,Num_of_catalytic_domains
720,CBM30+CBM44+GH44+GH9,6,4,2
737,CBM2+CE1+GH10,6,3,2
742,CE0+CE15,6,2,2
744,CE4+GH0+GT2,6,3,3
745,GH158+GH26+GT2,6,3,3
749,AA10+CBM12+GH18,6,3,2
750,GH18+GH27,6,2,2
752,GT111+GT2,6,2,2
759,CBM35+CE8+PL10,6,3,2
760,GH0+GH39,6,2,2
769,CBM22+CE4+GH11,5,3,2
775,CBM42+GH30+GH43,5,3,2
781,CBM3+GH48+GH74,5,3,2
784,GH0+GH33,5,2,2
787,CBM91+CE6+GH43,5,3,2
790,GT101+GT113,5,2,2
791,GH19+GH23,5,2,2
807,CBM5+GH18+GH19,5,3,2
815,GT2+GT52,5,2,2
821,GH0+GT4,5,2,2
822,GH3+GH30,5,2,2
823,GH29+GH43,5,2,2
827,AA15+GH18,5,2,2
829,GH2+GH20,5,2,2
837,CBM2+CBM22+CBM6+GH10+GH43,4,5,2
839,CBM35+PL1+PL9,4,3,2
840,CBM10+CBM5+GH5+GH6,4,4,2
841,CE15+GH10,4,2,2
844,CBM3+GH10+GH48,4,3,2
845,CBM3+GH5+GH9,4,3,2
846,GH10+GH9,4,2,2
849,GT0+GT41,4,2,2
863,GH0+GH28,4,2,2
867,GT0+GT9,4,2,2
869,CBM2+CE4+GH10,4,3,2
870,GH141+GH2,4,2,2
873,GH78+PL8,4,2,2
874,GH3+GH89,4,2,2
878,GT42+GT8,4,2,2
881,CBM6+CE8+PL1,4,3,2
882,GH28+PL9,4,2,2
883,GH0+GH73,4,2,2
885,GH3+GH78,4,2,2
886,CBM32+GH16+PL7,4,3,2
894,GH0+GH94,4,2,2
903,PL0+PL32,4,2,2
908,AA15+GH19,4,2,2
909,CE6+GH51,4,2,2
913,CBM5+CE0+GH18,4,3,2
916,GT2+GT44,4,2,2
919,CE8+GH43,4,2,2
925,GT4+GT94,4,2,2
928,CBM67+GH33+GH78,4,3,2
930,PL5+PL7,3,2,2
932,CE4+GH11,3,2,2
934,CBM22+CE0+GH11,3,3,2
935,GH10+GH11,3,2,2
943,PL6+PL7,3,2,2
948,CBM2+CBM3+GH12+GH6,3,4,2
951,CE0+CE6,3,2,2
955,CBM77+PL1+PL9,3,3,2
958,GT30+GT9,3,2,2
960,CBM6+CE6+GH62,3,3,2
964,GT116+GT2,3,2,2
977,CBM22+CBM37+CE4+GH11,3,4,2
980,GH154+GH16,3,2,2
985,CBM0+CBM22+CBM9+CE4+GH10,3,5,2
988,CBM46+GH5+GH74,3,3,2
989,CE0+PL9,3,2,2
990,GH29+GH33,3,2,2
991,CBM48+GH13+GH133,3,3,2
992,CBM13+GH26+GH75,3,3,2
994,CBM35+CBM6+GH3+GH30,3,4,2
998,CBM22+CE4+GH10,3,3,2
1000,GH0+GH172,3,2,2
1002,GH3+GH43,3,2,2
1003,GT2+PL38,3,2,2
1006,GT7+GT90,3,2,2
1009,GT17+GT2+GT4,3,3,3
1010,GH20+GH92,3,2,2
1011,GT113+GT2,3,2,2
1012,CBM36+CE4+GH11,3,3,2
1030,GH171+GH3,3,2,2
1032,CBM0+GH117+GH29,3,3,2
1037,GT102+GT103+GT2,3,3,3
1038,GH144+GH29,3,2,2
1039,GH127+GH51,3,2,2
1040,CBM32+PL6+PL7,3,3,2
1042,CBM35+CBM77+PL1+PL9,3,4,2
1046,CE12+GH43,3,2,2
1047,GH10+GH43,3,2,2
1049,GH106+GH2,3,2,2
1051,GH18+GH19,3,2,2
1052,GT0+GT2+GT32,3,3,3
1055,AA12+AA8+CBM1,3,3,2
1056,GT0+GT1,3,2,2
1057,CE4+GH18,3,2,2
1059,GT32+GT4,3,2,2
1060,CBM67+GH136+GH78,3,3,2
1067,GH9+GT2,3,2,2
1073,GH146+GH97,3,2,2
1076,GH1+GH162,3,2,2
1077,CBM1+CE0+GH27,3,3,2
1079,CE4+GH9,3,2,2
1080,GH144+GH3,3,2,2
1081,GH28+PL11,3,2,2
1082,CE6+GH33,3,2,2
1083,CE0+CE12,3,2,2
1084,GT2+GT81,3,2,2
1089,GH43+GH59,3,2,2
1093,GH0+GH165,3,2,2
1097,GT1+GT2+GT4,3,3,3
1098,GH128+GH152,3,2,2
1100,CE0+CE4,3,2,2
1101,GH105+PL35,3,2,2
1102,CE16+GH3,3,2,2
1103,CBM35+GH15+GH66,3,3,2
1105,CBM91+GH35+GH43,3,3,2
1107,GT10+GT2,3,2,2
1113,CBM22+GH11+GH16,2,3,2
1114,CBM22+CBM3+CBM6+GH10+GH43,2,5,2
1115,CBM3+GH44+GH9,2,3,2
1117,CBM72+GH26+GH5,2,3,2
1123,CE12+PL10,2,2,2
1126,GT116+GT4,2,2,2
1128,GH105+PL42,2,2,2
1132,GH26+GH8,2,2,2
1133,CBM57+CE0+GH10,2,3,2
1134,CE0+GH10,2,2,2
1142,GH5+GH93,2,2,2
1143,CBM32+GH120+GH95,2,3,2
1144,CBM13+CE8+PL1,2,3,2
1145,GH106+GH137,2,2,2
1149,AA10+CBM5+GH18,2,3,2
1152,GH5+GT2,2,2,2
1159,CE7+GH26,2,2,2
1160,GH18+GH78,2,2,2
1162,CBM48+GH13+GT5,2,3,2
1169,CBM3+GH44+GH74,2,3,2
1170,CBM22+CBM9+CE15+GH10,2,4,2
1171,CBM32+CBM54+CBM92+GH16+GH55,2,5,2
1173,CBM22+CBM91+CE0+GH43,2,4,2
1175,CBM22+CBM37+CE0+GH11,2,4,2
1177,CE8+GH105,2,2,2
1181,GH18+GH8,2,2,2
1185,GH12+GT2,2,2,2
1186,CBM9+CE0+GH10,2,3,2
1187,CBM6+GH10+GH11,2,3,2
1191,CE15+GH78,2,2,2
1192,GT111+GT29+GT8,2,3,3
1193,CE12+CE2,2,2,2
1196,GH81+GT2,2,2,2
1199,CE6+GH43,2,2,2
1202,GH2+GH3,2,2,2
1204,CBM10+CBM60+CE6+GH10,2,4,2
1207,GH11+GH62,2,2,2
1209,GH123+GH33,2,2,2
1214,CBM6+GH27+GH43,2,3,2
1215,GH2+GH31,2,2,2
1216,PL0+PL9,2,2,2
1229,GH117+GH29,2,2,2
1233,GT0+GT107,2,2,2
1235,CBM66+GH43+GH51,2,3,2
1240,GT4+GT70,2,2,2
1246,CE4+GH73,2,2,2
1247,CBM2+PL1+PL9,2,3,2
1249,GH29+GH95,2,2,2
1250,GH2+PL38,2,2,2
1251,CE0+PL1,2,2,2
1253,CE8+GH95,2,2,2
1255,CBM35+CBM6+CBM88+CE8+PL1,2,5,2
1257,GT2+GT99,2,2,2
1258,GH117+GH43,2,2,2
1260,CE20+GH33,2,2,2
1261,CBM88+CE0+GH76,2,3,2
1265,CBM6+GH5+GH8,2,3,2
1278,GT64+GT8,2,2,2
1279,GT4+GT62,2,2,2
1282,GH159+GH43,2,2,2
1293,GT23+GT4,2,2,2
1299,GH16+GT2,2,2,2
1302,CE0+GH20,2,2,2
1306,CBM53+GT31+GT5,2,3,2
1307,CBM43+GH17+GT2,2,3,2
1311,CBM48+GH13+GT4,2,3,2
1313,GH0+GH133,2,2,2
1316,GH16+GT48,2,2,2
1320,GH36+GH74,2,2,2
1322,GH163+GH50,2,2,2
1327,GT25+GT4,2,2,2
1331,CE6+GH97,2,2,2
1337,GH43+GH5,2,2,2
1338,CE0+GH62,2,2,2
1339,GH0+GH78,2,2,2
1340,CBM13+CBM35+CBM6+GH5+GH98,2,5,2
1344,GH20+GH93,2,2,2
1347,CBM32+GH28+GH29,2,3,2
1348,GH152+GH18,2,2,2
1353,GH42+GH5,2,2,2
1355,CBM6+CBM60+GH10+GH43,2,4,2
1356,GH28+PL29,2,2,2
1360,CE14+GT4,2,2,2
1361,GH0+GH140,2,2,2
1363,GH128+GH16,2,2,2
1366,CBM22+CBM6+GH43+GH62,2,4,2
1367,CBM60+CE4+GH11,2,3,2
1369,AA3+GT4,2,2,2
1370,GH13+GT25,2,2,2
1371,AA3+GH76,2,2,2
1372,CBM48+GH13+GH28,2,3,2
1377,CBM6+CE0+CE6,2,3,2
1378,CBM61+GH43+GH53,2,3,2
1379,GT0+GT101,2,2,2
1380,GH3+GH9,2,2,2
1381,GH16+GH64,2,2,2
1382,CBM2+GH9+PL14,2,3,2
1385,GT0+GT28,2,2,2
1390,GH33+GH84,2,2,2
1391,CBM32+GH20+GH85,2,3,2
1392,CBM32+CBM71+GH2+GH33+GH84,2,5,3
1399,GH39+GT4,2,2,2
1403,CBM35+CBM66+GH43+GH5,2,4,2
1406,GT11+GT2+GT4,2,3,3
1418,PL0+PL21,2,2,2
1421,GT0+GT102+GT103,2,3,3
1422,CE0+GH18,2,2,2
1424,GT0+GT11,2,2,2
1425,CBM3+GH10+GH12+GH48,2,4,3
1426,CBM22+CBM3+GH10+GH5,2,4,2
